query_id	pmid	evidence_level	has_pdf	pdf_source	pdf_usable	usable_reason	in_chunks_v2
1	24747353	abstract_supports_detail	yes	pdfs	yes		yes
10	20375144	abstract_insufficient	yes	pdfs	yes		yes
10	11447112	abstract_supports_detail	yes	pdfs	yes		yes
100	14570871	abstract_supports_detail	yes	pdfs	yes		yes
1000	30367048	abstract_supports_detail	no		no	no_pdf	no
1001	24485835	abstract_supports_core	yes	pdfs	yes		yes
1002	28889942	abstract_supports_core	no		no	no_pdf	no
1003	30393033	abstract_insufficient	yes	manual	yes		yes
1004	16581519	abstract_supports_core	yes	pdfs	yes		yes
1005	9584128	abstract_insufficient	no		no	no_pdf	no
1006	16759735	abstract_supports_core	yes	pdfs	yes		yes
1006	29135990	abstract_supports_detail	yes	manual	yes		yes
1007	28302905	abstract_supports_core	no		no	no_pdf	no
1008	25872182	abstract_insufficient	yes	pdfs	yes		yes
1008	9729606	abstract_supports_detail	yes	pdfs	yes		yes
1008	9126295	abstract_supports_core	yes	pdfs	yes		yes
1008	1728597	abstract_supports_core	yes	pdfs	yes		yes
1009	1312226	abstract_supports_core	yes	pdfs	no	low_chars_per_page	no
1009	3467359	abstract_supports_core	yes	pdfs	yes		yes
101	9739079	abstract_supports_detail	no		no	no_pdf	no
101	10825297	abstract_supports_core	no		no	no_pdf	no
1010	20493808	abstract_supports_detail	yes	pdfs	yes		yes
1011	20493808	abstract_supports_detail	yes	pdfs	yes		yes
1012	11553719	abstract_supports_core	yes	pdfs	yes		yes
1012	15534002	abstract_supports_core	yes	pdfs	yes		yes
1012	15352238	abstract_insufficient	yes	pdfs	yes		yes
1012	10192918	abstract_supports_core	yes	pdfs	no	known_bad	no
1013	10205164	abstract_supports_core	yes	pdfs	yes		yes
1014	11389841	abstract_supports_core	yes	pdfs	yes		yes
1014	18452713	abstract_insufficient	yes	pdfs	yes		yes
1014	18635356	abstract_supports_core	yes	pdfs	yes		yes
1015	10192918	abstract_supports_core	yes	pdfs	no	known_bad	no
1015	10205164	abstract_supports_core	yes	pdfs	yes		yes
1016	16672332	abstract_supports_core	yes	pdfs	yes		yes
1017	28257811	abstract_supports_detail	no		no	no_pdf	no
1018	10873800	abstract_supports_core	yes	pdfs	yes		yes
1018	21335531	abstract_insufficient	yes	pdfs	yes		yes
1019	17660200	abstract_supports_core	yes	pdfs	yes		yes
102	17673666	abstract_supports_core	yes	pdfs	yes		yes
1020	15817229	abstract_insufficient	yes	pdfs	yes		yes
1020	12963116	abstract_insufficient	yes	pdfs	yes		yes
1021	30049880	abstract_supports_detail	no		no	no_pdf	no
